question_no,question_stem,doi
1,Your transdermal gel needs to contain 4 mg of the API in 0.2 mL of gel. How many milligrams of API will you weigh out to prepare 10 mL of this transdermal gel? (Answer must be numeric; round the final answer to the nearest WHOLE number.),10.21019/qna-636046
2,"A patient has the following prescription: John Doe DOB: 8/23/67, Voltaren Gel #150 g +3 RF, Apply 2 grams to shoulders QID NTE 8 g/day. Calculate the days supply of 150 gram tube if the patient is using the medication at the maximum allowable amount. (Answer must be numeric; rouund the final answer to the nearest WHOLE number.)",10.21019/qna-902103
3,"When 23 mL of water for injection are added to drug-lyophilized powder; the resulting concentration is 200,000 units/mL. What is the volume of the dry powder if the amount of drug in the vial was 5,000,000 units? (Answer must be numeric; round the final answer to the nearest WHOLE number.)",10.21019/qna-900038
4,"A pharmacy technician is instructed to prepare 250 mL of a 0.5% w/v solution of chlorhexidine gluconate from a 4% w/v stock solution. How much of the stock solution, in mL, is required? (Answer must be numeric; round the final answer to the nearest HUNDREDTH decimal number.)",10.21019/qna-901908
5,An IV infusion of a drug in 5% dextrose injection contains a total volume of 250 mL per IV bag. How many IV bags does the patient receive per day if the IV solution runs at 52 mL/h? (Answer must be numeric; round the final answer to the nearest WHOLE number.),10.21019/qna-900036
6,JS has a prescription to inject 50 units of insulin glargine every night for 30 days. How many pens of insulin glargine should be dispensed to fulfill this prescription? (Answer must be numeric; round the final answer to the nearest WHOLE number.),10.21019/qna-901926
7,"If 100 g of solute are dissolved in enough water to produce 100 mL of solution, what is the w/v% of solute in this solution? (Answer must be numeric; round the final answer to the nearest WHOLE number.)",10.21019/qna-490078
8,"A patient on prednison 10 mg daily is being switched to hydrocortisone. How much hydrocortisone, in mg, is required to provide an equivalent dose? (Corticosteroid equivalence: Prednisone 5 mg â‰ˆ hydrocortisone 20 mg). (Answer must be numeric; round the final answer to the nearest WHOLE number.)",10.21019/qna-902171
9,"A balance has a sensitivity requirement of 7 mg. Calculate the least weighable quantity, in milligrams, with an error of no greater than 4%. (Answer must be numeric; round the final answer to the nearest WHOLE number.)",10.21019/qna-902111
11,"A patient with status epilepticus requires phenobarbital. The recommended initial dose is 15 mg/kg IV. The patient weighs 80 kg. What should the initial dose, in mg, be for this patient? (Answer must be numeric; round the final answer to the nearest WHOLE number.)",10.21019/qna-902132
12,"How much base, in grams, should be added to 30 g of 30% ointment to prepare 15% ointment? (Answer must be numeric; round the final answer to the nearest WHOLE number.)",10.21019/qna-636021
13,"A patient weighing 70 kg is ordered fosphenytoin for status epilepticus. The loading dose is 20 mg PE/kg IV. What is the correct loading dose, in mg phenytoin equivalents (PE), for this patient? (Answer must be numeric; round the final answer to the nearest WHOLE number.)",10.21019/qna-902133
